"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-01","0.0","E","0.0",",E","14",",E","9",",E","0",",E","6",",E","0",",E","0",",E","0",",E","-3.2",",E,07,","20.2",",,E,19,","16.5",",E,12,","1101.1","E","363.9",",E","80.0",",,,E","6.6",",E","10.7",",,,E","2.5",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-02","0.0","E","0.0",",E","2",",E","0",",E","0",",E","5",",E","0",",E","1",",E","0",",E","-1.8",",E,16,","1.5",",,E,02,","21.8",",E,27,","1355.1","E","254.0",",E","1.9",",,,E","9.3",",E","16.1",",,,E","2.5",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-03","0.0","E","0.0",",E","0",",E","0",",E","0",",E","1",",E","0",",E","24",",E","0",",E","0.0",",E,11,","0.0",",,E,31,+","26.0",",E,18,+","1526.8","E","171.7",",E","0.0",",,,E","12.8",",E","22.1",",,,E","3.4",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-04","2.4","E","2.4",",E","5",",E","3",",E","0",",E","0",",E","0",",E","20",",E","0",",E","3.0",",E,11,","18.0",",,E,19,","27.4",",E,16,","1618.1","E","91.3",",E","35.9",",,,E","15.4",",E","22.4",",,,E","8.4",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-05","13.1","E","10.7",",E","11",",E","6",",E","0",",E","0",",E","0",",E","21",",E","0",",E","1.9",",E,08,","13.9",",,E,25,","29.8",",E,29,","1684.1","E","66.0",",E","60.1",",,,E","16.6",",E","22.9",",,,E","10.1",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-06","71.9","E","58.8",",E","4",",E","1",",E","0",",E","0",",E","0",",E","25",",E","1",",E","9.5",",E,08,","4.5",",,E,04,","33.0",",E,25,","1700.6","E","16.5",",E","8.2",",,,E","19.8",",E","26.1",",,,E","13.4",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-07","226.8","E","154.9",",E","11",",E","5",",E","0",",E","0",",E","0",",E","31",",E","17",",E","7.0",",E,03,","10.2",",,E,27,","35.6",",E,31,","6.9","E","6.9",",E","36.6",",,,E","23.1",",E","31.2",",,,E","15.0",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-08","425.0","E","198.2",",E","7",",E","2",",E","0",",E","0",",E","0",",E","31",",E","16",",E","8.2",",E,29,","5.0",",,E,08,","38.5",",E,03,","8.0","E","1.1",",E","15.2",",,,E","24.7",",E","32.4",",,,E","17.0",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-09","542.3","E","117.3",",E","4",",E","3",",E","0",",E","0",",E","0",",E","29",",E","7",",E","11.0",",E,03,","25.3",",,E,25,","35.0",",E,05,","8.8","E","0.8",",E","44.5",",,,E","22.2",",E","29.7",",,,E","14.8",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-10","568.1","E","25.8",",E","8",",E","2",",E","0",",E","1",",E","0",",E","21",",E","0",",E","-0.6",",E,30,","4.7",",,E,20,","30.8",",E,11,","73.7","E","64.9",",E","14.2",",,,E","17.1",",E","23.5",",,,E","10.7",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-11","568.1","E","0.0",",E","18",",E","12",",E","0",",E","1",",E","0",",E","0",",E","0",",E","-0.4",",E,23,","38.8",",,E,05,","19.4",",E,03,","323.6","E","249.9",",E","171.6",",,,E","10.0",",E","13.5",",,,E","6.5",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1997-12","568.1","E","0.0",",E","14",",E","8",",E","0",",E","8",",E","0",",E","0",",E","0",",E","-4.0",",E,06,","9.4",",,E,16,","17.9",",E,02,","679.2","E","355.6",",E","52.3",",,,E","6.9",",E","10.5",",,,E","3.2",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-01","0.0","E","0.0",",E","7",",E","4",",E","0",",E","8",",E","0",",E","0",",E","0",",E","-2.4",",E,25,","11.4",",,E,26,","16.0",",E,20,","1038.9","E","359.7",",E","36.8",",,,E","6.7",",E","11.2",",,,E","2.3",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-02","0.0","E","0.0",",E","6",",E","3",",E","0",",E","2",",E","0",",E","3",",E","0",",E","-0.4",",E,26,","29.6",",,E,02,","22.6",",E,17,","1288.8","E","249.9",",E","40.4",",,,E","9.4",",E","15.2",",,,E","3.6",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-03","0.0","E","0.0",",E","3",",E","2",",E","0",",E","1",",E","0",",E","14",",E","0",",E","-1.1",",E,14,","7.4",",,E,29,","24.1",",E,20,","1482.8","E","194.0",",E","13.9",",,,E","12.1",",E","19.8",",,,E","4.3",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-04","0.1","E","0.1",",E","11",",E","4",",E","0",",E","0",",E","0",",E","4",",E","0",",E","0.8",",E,18,+","6.2",",,E,28,","28.0",",E,25,","1700.9","E","218.1",",E","26.7",",,,E","11.1",",E","16.5",",,,E","5.7",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-05","1.9","E","1.8",",E","17",",E","9",",E","0",",E","0",",E","0",",E","17",",E","0",",E","2.6",",E,01,","11.7",",,E,15,","27.9",",E,18,","1795.5","E","94.6",",E","68.7",",,,E","15.3",",E","21.4",",,,E","9.3",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-06","117.9","E","116.0",",E","4",",E","2",",E","0",",E","0",",E","0",",E","30",",E","13",",E","7.5",",E,12,","15.7",",,E,04,","36.0",",E,29,+","1801.1","E","5.6",",E","21.1",",,,E","22.0",",E","30.3",",,,E","13.8",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-07","345.4","E","227.5",",E","0",",E","0",",E","0",",E","0",",E","0",",E","31",",E","23",",E","12.2",",E,03,","0.0",",,E,31,+","38.6",",E,24,","0.0","E","0.0",",E","0.0",",,,E","25.7",",E","34.3",",,,E","17.1",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-08","582.2","E","236.8",",E","4",",E","2",",E","0",",E","0",",E","0",",E","31",",E","26",",E","12.4",",E,03,","29.0",",,E,27,","39.2",",E,10,","0.0","E","0.0",",E","44.3",",,,E","26.0",",E","34.4",",,,E","17.5",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-09","668.9","E","86.7",",E","6",",E","6",",E","0",",E","0",",E","0",",E","24",",E","3",",E","10.8",",E,30,","17.1",",,E,24,","33.8",",E,09,","11.9","E","11.9",",E","51.8",",,,E","20.8",",E","26.8",",,,E","14.8",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-10","668.9","E","0.0",",E","2",",E","1",",E","0",",E","0",",E","0",",E","17",",E","0",",E","1.6",",E,21,","10.3",",,E,05,","25.7",",E,12,","150.7","E","138.8",",E","13.1",",,,E","13.9",",E","20.8",",,,E","6.9",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-11","668.9","E","0.0",",E","3",",E","2",",E","0",",E","6",",E","0",",E","1",",E","0",",E","-5.7",",E,22,","17.8",",,E,03,","21.6",",E,01,","417.4","E","266.7",",E","22.1",",,,E","9.4",",E","15.6",",,,E","3.3",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1998-12","668.9","E","0.0",",E","4",",E","2",",E","0",",E","22",",E","0",",E","0",",E","0",",E","-6.1",",E,27,","8.0",",,E,29,","16.2",",E,16,+","839.9","E","422.5",",E","14.3",",,,E","4.7",",E","11.3",",,,E","-1.9",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1999-01","0.0","E","0.0",",E","3",",E","2",",E","0",",E","20",",E","0",",E","0",",E","0",",E","-5.7",",E,13,","3.3",",,E,16,","18.0",",E,28,","1247.5","E","407.6",",E","8.1",",,,E","5.2",",E","11.3",",,,E","-0.9",",,,E"
"SPE00120278","MADRID BARAJAS, SP","40.4667","-3.5556","609.0","1999-02","0.0","E","0.0",",E","4",",E","2",",E","0",",E","19",",E","0",",E","0",",E","0",",E","-9.1",",E,01,","6.8",",,E,24,","20.0",",E,21,","1575.3","E","327.8",",E","12.9",",,,E","6.6",",E","13.8",",,,E","-0.5",",,,E"
